;solar;wind;cons;market;spot
2019-01-01 01:00:00+01:00;00.00;226.482.641;41422.0;11,98088293;10,07
2019-01-01 02:00:00+01:00;00.00;247.626.254;40279.0;5,776288908;-4,08
2019-01-01 03:00:00+01:00;00.00;269.002.746;39035.0;1,898098251;-9,91
2019-01-01 04:00:00+01:00;00.00;292.117.893;38871.0;0,605588431;-7,41
2019-01-01 05:00:00+01:00;00.00;307.405.101;38508.0;-1,794566262;-12,55
2019-01-01 06:00:00+01:00;00.00;321.690.857;37630.0;-3,365706863;-17,25
2019-01-01 07:00:00+01:00;00.00;33.421.561;37987.0;-2,171153355;-15,07
2019-01-01 08:00:00+01:00;153.00.00;33.919.282;38653.0;0,319497392;-4,93
2019-01-01 09:00:00+01:00;1264.00.00;339.519.938;41315.0;0,616599182;-6,33
2019-01-01 10:00:00+01:00;2430.00.00;336.982.321;43822.0;0,289136197;-4,93
2019-01-01 11:00:00+01:00;3162.00.00;337.582.184;46357.0;1,562485227;0,45
2019-01-01 12:00:00+01:00;3317.00.00;339.436.635;46788.0;1,202488973;0,12
2019-01-01 13:00:00+01:00;2879.00.00;343.694.952;48005.0;1,737816854;-0,02
2019-01-01 14:00:00+01:00;1955.00.00;358.103.763;44565.0;2,613515274;0
2019-01-01 15:00:00+01:00;805.00.00;374.565.636;44849.0;3,345221093;-0,03
2019-01-01 16:00:00+01:00;49.00.00;38.846.375;47018.0;12,81582066;1,97
2019-01-01 17:00:00+01:00;00.00;403.784.879;50702.0;14,81080245;9,06
2019-01-01 18:00:00+01:00;00.00;417.624.293;51415.0;9,09067027;0,07
2019-01-01 19:00:00+01:00;00.00;427.620.644;50411.0;5,64594869;-4,97
2019-01-01 20:00:00+01:00;00.00;429.361.774;48034.0;4,795093309;-6,98
2019-01-01 21:00:00+01:00;00.00;423.619.983;46216.0;-0,41653678;-24,93
2019-01-01 22:00:00+01:00;00.00;412.565.721;45653.0;12,51671804;-4,87
2019-01-01 23:00:00+01:00;00.00;398.447.776;42865.0;0,098553684;-28,93
2019-01-02 00:00:00+01:00;00.00;359.416.039;40517.0;-7,478565853;-33,57
2019-01-02 01:00:00+01:00;00.00;357.307.741;38831.0;-15,85156913;-45,92
2019-01-02 02:00:00+01:00;00.00;35.436.356;38456.0;-22,51749986;-48,29
2019-01-02 03:00:00+01:00;00.00;350.991.442;38601.0;-33,13331824;-44,99
